ClaytonDiagramAbbrev,TypeForCubeVis,Type,StoreFilename,Channel,UnitOfMeasurement,EquipRef,Group,ChengLabel,Sensor,Type,SubSensor,MeasurePoint,ConnectedBoard,NodeID,Dashboard Label,CondensedDashboardLabel,
AHS-63,ahs63,Air Rel. Humidity Sensor,Telosb51.txt,2,%RH,AB-3,Airbox3&4,Telosb51 Ch 2,Telosb51,Sensirion Sht11 sensor,Humidity,Air humidity at air diffuser near AirBox3,Telosb51,51,AHS-63 Air Humidity At Air Diffuser Near Airbox3,AHS-63 Air Humidity At Air Diffuser Near Airbox3,
AHS-64,ahs64,Air Rel. Humidity Sensor,Telosb52.txt,2,%RH,AB-4,Airbox3&4,Telosb52 Ch 2,Telosb52,Sensirion Sht11 sensor,Humidity,Air humidity at air diffuser near AirBox4,Telosb52,52,AHS-64 Air Humidity At Air Diffuser Near Airbox4,AHS-64 Air Humidity At Air Diffuser Near Airbox4,
AHS-75,ahs75,Air Rel. Humidity Sensor,Sht755.txt,2,%RH,AB-3,Airbox3&4,Sht755 Ch 2,Sht755,Sensirion Sht75 sensor,Humidity,input air humidity for Airbox3,Telosb27,27,AHS-75 Input Air Humidity For Airbox3,AHS-75 Input Air Humidity For Airbox3,
AHS-76,ahs76,Air Rel. Humidity Sensor,Sht756.txt,2,%RH,AB-3,Airbox3&4,Sht756 Ch 2,Sht756,Sensirion Sht75 sensor,Humidity,output air humidity for Airbox3,Telosb27,27,AHS-76 Output Air Humidity For Airbox3,AHS-76 Output Air Humidity For Airbox3,
AHS-77,ahs77,Air Rel. Humidity Sensor,Sht757.txt,2,%RH,AB-4,Airbox3&4,Sht757 Ch 2,Sht757,Sensirion Sht75 sensor,Humidity,input air humidity for Airbox4,Telosb28,28,AHS-77 Input Air Humidity For Airbox4,AHS-77 Input Air Humidity For Airbox4,
AHS-78,ahs78,Air Rel. Humidity Sensor,Sht758.txt,2,%RH,AB-4,Airbox3&4,Sht758 Ch 2,Sht758,Sensirion Sht75 sensor,Humidity,output air humidity for Airbox4,Telosb28,28,AHS-78 Output Air Humidity For Airbox4,AHS-78 Output Air Humidity For Airbox4,
AHS-93,ahs93,Air Rel. Humidity Sensor,Telosb55.txt,2,%RH,None,Airbox3&4,Telosb55 Ch 2,Telosb55,Sensirion Sht11 sensor,Humidity,Outdoor air humidity at Telosb55,Telosb55,55,AHS-93 Outdoor Air Humidity At Telosb55,AHS-93 Outdoor Air Humidity At Telosb55,
AHS-94,ahs94,Air Rel. Humidity Sensor,Telosb56.txt,2,%RH,None,Airbox3&4,Telosb56 Ch 2,Telosb56,Sensirion Sht11 sensor,Humidity,Outdoor air humidity at Telosb56,Telosb56,56,AHS-94 Outdoor Air Humidity At Telosb56,AHS-94 Outdoor Air Humidity At Telosb56,
ATS-23,ats23,Air Temp. Sensor,Airbox23.txt,1,DegC,AB-3,Airbox3&4,Airbox23 Temp,Airbox3 controller,Airbox controller,Inside Temp,Inside Temp for Airbox3,Telosb23,23,ATS-23 Inside Temp For Airbox3,ATS-23 Inside Temp For Airbox3,
ATS-24,ats24,Air Temp. Sensor,Airbox24.txt,1,DegC,AB-4,Airbox3&4,Airbox24 Temp,Airbox4 controller,Airbox controller,Inside Temp,Inside Temp for Airbox4,Telosb24,24,ATS-24 Inside Temp For Airbox4,ATS-24 Inside Temp For Airbox4,
